domain,answers
FIB,n
FIB,n
FIB,n
FIB,n
FIB,n
FIB,n
FIB,n
FIB,n
FIB,n
FIB,y
FIB,n
FIB,n
FIB,y
FIB,n
FIB,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,n
MCQ,y
MCQ,n
MCQ,y
MCQ,n
MCQ,y
MCQ,n
MCQ,y
MCQ,y
MCQ,n
MCQ,y
MCQ,y
MCQ,n
MCQ,y
FIB,y
MCQ,n
MCQ,n
MCQ,n
MCQ,n
MCQ,n
MCQ,n
MCQ,n
MCQ,n
MCQ,n
MCQ,n
MCQ,n
MCQ,n
MCQ,n
MCQ,y
FIB,y
FIB,y
FIB,y
FIB,y
FIB,y
FIB,y
FIB,y
FIB,n
FIB,n
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
FIB,n
FIB,y
MCQ,y
MCQ,n
MCQ,y
MCQ,n
MCQ,n
MCQ,y
FIB,n
FIB,n
FIB,n
FIB,n
FIB,y
MCQ,y
MCQ,y
MCQ,y
MCQ,y
FIB,y
